,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_released,age,decades,day,month,markup,profitmargin,netprofit,genres,randomgenre
198,99,2014-06-13,How to Train Your Dragon 2,145000000,177002924,614586270,2014,6,0,Friday,6,3.238526,0.7640689239608298,469586270,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Family
199,100,1999-06-16,Tarzan,145000000,171091819,448191819,1999,21,2,Wednesday,6,2.0909780620689653,0.676477807373811,303191819,"['Action', 'Adventure', 'Animation', 'Family']",Animation
200,1,2014-03-07,Mr. Peabody & Sherman,145000000,111506430,269806430,2014,6,0,Friday,3,0.860734,0.4625776709621042,124806430,"['Adventure', 'Animation', 'Family']",Family
201,2,2012-11-21,Rise of the Guardians,145000000,103412758,306900902,2012,8,0,Wednesday,11,1.1165579448275862,0.5275347871085762,161900902,"['Animation', 'Family', 'Fantasy']",Animation
203,4,2016-07-15,Ghostbusters,144000000,128350574,229008658,2016,4,0,Friday,7,0.5903379027777778,0.3712028127774977,85008658,"['Action', 'Comedy', 'Fantasy']",Comedy
207,8,1998-07-01,Armageddon,140000000,201578182,554600000,1998,22,2,Wednesday,7,2.961428571428572,0.7475658131987017,414600000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Adventure
209,10,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2011,9,0,Friday,7,1.6469269714285717,0.6222034038739306,230569776,"['Action', 'Adventure', 'Science Fiction']",Adventure
210,11,2016-01-29,Kung Fu Panda 3,140000000,143528619,517599142,2016,4,0,Friday,1,2.6971367285714285,0.7295204171725617,377599142,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Action
212,13,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705,2013,7,0,Wednesday,3,1.6838621785714285,0.6274026259678199,235740705,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Science Fiction
215,16,2014-12-12,Exodus: Gods and Kings,140000000,65014513,268314513,2014,6,0,Friday,12,0.9165322357142855,0.4782242733176345,128314513,"['Action', 'Adventure', 'Drama']",Adventure
216,17,2016-07-01,The BFG,140000000,55483770,199646680,2016,4,0,Friday,7,0.4260477142857143,0.2987611915209409,59646680,"['Adventure', 'Family', 'Fantasy']",Family
217,18,2016-02-26,Gods of Egypt,140000000,31153464,138836756,2016,4,0,Friday,2,-0.008308885714285714,-0.008378501727597265,-1163244,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action
225,26,2013-03-22,The Croods,135000000,187168425,573068425,2013,7,0,Friday,3,3.2449512962962963,0.7644260369082453,438068425,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Family
226,27,2015-12-25,The Revenant,135000000,183637894,532938302,2015,5,0,Friday,12,2.9476911259259264,0.7466873754553299,397938302,"['Adventure', 'Drama', 'Western']",Adventure
228,29,2011-03-04,Rango,135000000,123477607,245724600,2011,9,0,Friday,3,0.8201822222222223,0.4506044571849949,110724600,"['Adventure', 'Animation', 'Comedy', 'Family', 'Western']",Family
230,31,2013-07-17,Turbo,135000000,83028130,286896578,2013,7,0,Wednesday,7,1.1251598370370373,0.5294471584809213,151896578,"['Animation', 'Family']",Family
231,32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,2016,4,0,Friday,6,0.8172472148148148,0.44971713708093136,110328374,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",Family
232,33,2011-11-18,Happy Feet Two,135000000,64006466,157956466,2011,9,0,Friday,11,0.1700478962962963,0.14533413276035184,22956466,"['Animation', 'Comedy', 'Family']",Animation
234,35,2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,170293899,2018,2,0,Friday,11,0.281368690744921,0.21958449022298795,37393899,"['Adventure', 'Family', 'Fantasy']",Fantasy
235,36,2005-06-29,War of the Worlds,132000000,234280354,606836535,2005,15,1,Wednesday,6,3.597246477272728,0.7824784890382382,474836535,['Documentary'],Documentary
236,37,2014-11-26,Penguins of Madagascar,132000000,83350911,366942531,2014,6,0,Wednesday,11,1.779867659090909,0.6402706449964504,234942531,"['Adventure', 'Animation', 'Comedy', 'Family']",Comedy
237,38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,7,0,Friday,11,5.652831130769231,0.8496880530493226,734868047,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
